"case_id","category","effect","sample_size_per_day","prior_alpha","prior_beta","prior","freq_treat","freq_treat_peek","peek_multiplier_freq","bayes_treat_0.1","bayes_treat_peek_0.1","peek_multiplier_bayes_0.1","bayes_treat_0.01","bayes_treat_peek_0.01","peek_multiplier_bayes_0.01","bayes_treat_0.001","bayes_treat_peek_0.001","peek_multiplier_bayes_0.001","bayes_treat_0.0001","bayes_treat_peek_0.0001","peek_multiplier_bayes_0.0001","bayes_treat_0.00001","bayes_treat_peek_0.00001","peek_multiplier_bayes_0.00001"
3,"poisson",0,500,23,1,"directional","4.6%","26.8%",5.8,"100%","100%",1,"99.4%","100%",1,"41.8%","69.2%",1.7,"6.6%","19.6%",3,"1.2%","4%",3.3
3,"poisson",0,5000,23,1,"directional","6.8%","28.6%",4.2,"100%","100%",1,"100%","100%",1,"79%","92.8%",1.2,"20%","43%",2.1,"4.6%","11.4%",2.5
3,"poisson",0,50000,23,1,"directional","5.4%","29.4%",5.4,"100%","100%",1,"100%","100%",1,"99.6%","99.8%",1,"40.6%","69.4%",1.7,"5.2%","18.6%",3.6
3,"poisson",0,500,230,10,"confident","6.6%","29.4%",4.5,"100%","100%",1,"100%","100%",1,"39.4%","68.6%",1.7,"7.6%","20.8%",2.7,"1%","5%",5
3,"poisson",0,5000,230,10,"confident","4.6%","26.6%",5.8,"100%","100%",1,"100%","100%",1,"80.8%","94%",1.2,"17.6%","41.8%",2.4,"2.8%","9.8%",3.5
3,"poisson",0,50000,230,10,"confident","5.4%","25.6%",4.7,"100%","100%",1,"100%","100%",1,"99.8%","100%",1,"42.6%","72.4%",1.7,"5.8%","20.8%",3.6
3,"poisson",0,500,6,1,"wrong","4%","29.4%",7.3,"100%","100%",1,"100%","100%",1,"41.4%","67.6%",1.6,"7.2%","19.4%",2.7,"0.8%","3.8%",4.7
3,"poisson",0,5000,6,1,"wrong","3.4%","27.2%",8,"100%","100%",1,"100%","100%",1,"77.2%","93.6%",1.2,"14.6%","38.4%",2.6,"1.6%","7.6%",4.7
3,"poisson",0,50000,6,1,"wrong","5.2%","31.2%",6,"100%","100%",1,"100%","100%",1,"99.8%","100%",1,"36.6%","65.4%",1.8,"6.2%","19.4%",3.1
4,"poisson",0.01,500,23,1,"directional","5.2%","25%",4.8,"100%","100%",1,"100%","100%",1,"42.8%","73.2%",1.7,"6.6%","18.2%",2.8,"1.4%","4.4%",3.1
4,"poisson",0.01,5000,23,1,"directional","6.4%","29%",4.5,"100%","100%",1,"100%","100%",1,"89.6%","97.2%",1.1,"27.6%","51.4%",1.9,"5.2%","15.2%",2.9
4,"poisson",0.01,50000,23,1,"directional","26.2%","50.8%",1.9,"100%","100%",1,"100%","100%",1,"100%","100%",1,"84.2%","95.6%",1.1,"44.2%","62.2%",1.4
4,"poisson",0.01,500,230,10,"confident","4.8%","28.4%",5.9,"100%","100%",1,"99.8%","100%",1,"43.2%","73.8%",1.7,"7.2%","25.6%",3.6,"1.2%","4%",3.3
4,"poisson",0.01,5000,230,10,"confident","6%","33.2%",5.5,"100%","100%",1,"100%","100%",1,"89%","96.8%",1.1,"30%","51.8%",1.7,"5.2%","16%",3.1
4,"poisson",0.01,50000,230,10,"confident","23.6%","48.8%",2.1,"100%","100%",1,"100%","100%",1,"100%","100%",1,"87%","95%",1.1,"38.8%","57.2%",1.5
4,"poisson",0.01,500,6,1,"wrong","5.2%","28.2%",5.4,"100%","100%",1,"99.8%","99.8%",1,"47.6%","73.6%",1.5,"8.6%","22.4%",2.6,"1.2%","5.4%",4.5
4,"poisson",0.01,5000,6,1,"wrong","8%","32.8%",4.1,"100%","100%",1,"100%","100%",1,"87.8%","96.4%",1.1,"31.6%","56%",1.8,"7.8%","16%",2.1
4,"poisson",0.01,50000,6,1,"wrong","25.6%","47%",1.8,"100%","100%",1,"100%","100%",1,"100%","100%",1,"86.8%","96%",1.1,"42.2%","57.8%",1.4
4,"poisson",0.1,500,23,1,"directional","26.4%","48.8%",1.8,"100%","100%",1,"100%","100%",1,"85.2%","95.2%",1.1,"42.2%","59.6%",1.4,"13.8%","24.6%",1.8
4,"poisson",0.1,5000,23,1,"directional","97.8%","98.8%",1,"100%","100%",1,"100%","100%",1,"100%","100%",1,"100%","100%",1,"97.8%","98.6%",1
4,"poisson",0.1,50000,23,1,"directional","100%","100%",1,"100%","100%",1,"100%","100%",1,"100%","100%",1,"100%","100%",1,"100%","100%",1
4,"poisson",0.1,500,230,10,"confident","23%","48.2%",2.1,"100%","100%",1,"100%","100%",1,"85.6%","92.8%",1.1,"43.8%","60.4%",1.4,"11%","23.8%",2.2
4,"poisson",0.1,5000,230,10,"confident","98.2%","99%",1,"100%","100%",1,"100%","100%",1,"100%","100%",1,"100%","100%",1,"98%","98.6%",1
4,"poisson",0.1,50000,230,10,"confident","100%","100%",1,"100%","100%",1,"100%","100%",1,"100%","100%",1,"100%","100%",1,"100%","100%",1
4,"poisson",0.1,500,6,1,"wrong","23.8%","50.2%",2.1,"100%","100%",1,"100%","100%",1,"84.4%","93.2%",1.1,"40.4%","60.4%",1.5,"10.8%","21.4%",2
4,"poisson",0.1,5000,6,1,"wrong","98%","99.4%",1,"100%","100%",1,"100%","100%",1,"100%","100%",1,"99.8%","100%",1,"97.8%","99%",1
4,"poisson",0.1,50000,6,1,"wrong","100%","100%",1,"100%","100%",1,"100%","100%",1,"100%","100%",1,"100%","100%",1,"100%","100%",1
