"category","effect","prior_alpha","prior_beta","sample_size_per_day","freq_treat","freq_treat_peek","bayes_treat_0.1","bayes_treat_peek_0.1","bayes_treat_0.01","bayes_treat_peek_0.01","bayes_treat_0.001","bayes_treat_peek_0.001","bayes_treat_0.0001","bayes_treat_peek_0.0001","bayes_treat_0.00001","bayes_treat_peek_0.00001"
"bernoulli",0,"1","1",500,"5.4%","24.6%","78.8%","93.8%","19.4%","42.4%","3%","10.2%","0.4%","1.6%","0.2%","0.4%"
"bernoulli",0,"1","1",5000,"4.8%","27.4%","100%","100%","41.6%","69%","8.6%","20.2%","0.8%","4.2%","0%","0.6%"
"bernoulli",0,"1","1",50000,"5.6%","28.4%","100%","100%","84.8%","96.2%","20.8%","47%","3%","9.6%","0%","1.2%"
"bernoulli",0,"3","100",500,"3.6%","21.4%","82.6%","95.4%","18.4%","38.8%","2.8%","9.4%","0.6%","2%","0%","0.4%"
"bernoulli",0,"3","100",5000,"5.4%","24.8%","100%","100%","43%","72.8%","8%","21.4%","1.8%","4.6%","0.4%","1%"
"bernoulli",0,"3","100",50000,"4.8%","28.8%","100%","100%","84.8%","95.6%","19%","44.2%","3.4%","11.2%","0.6%","1.4%"
"bernoulli",0,"30","10",500,"4.4%","24%","79%","93.2%","17.8%","40.2%","2%","9.6%","0%","1.2%","0%","0.2%"
"bernoulli",0,"30","10",5000,"3.2%","23.8%","100%","100%","45.6%","73.6%","5.2%","19.8%","0.2%","2%","0%","0%"
"bernoulli",0,"30","10",50000,"4.8%","25.2%","100%","100%","83%","96.8%","17.2%","41.6%","2.2%","8%","0%","0.8%"
"bernoulli",0,"30","1000",500,"4.4%","23.2%","78.6%","93.2%","18%","39%","1.8%","9.4%","0.2%","1.4%","0%","0.2%"
"bernoulli",0,"30","1000",5000,"4.4%","24.8%","100%","100%","41.2%","69.6%","7%","21.6%","1%","3.8%","0.2%","0.6%"
"bernoulli",0,"30","1000",50000,"5.6%","30.6%","100%","100%","85.4%","94.8%","20.6%","42.8%","3%","13%","0.2%","1.8%"
"bernoulli",0.001,"1","1",500,"3.6%","22.2%","91.2%","98%","29.8%","53.8%","4.6%","15.8%","0.2%","1.6%","0%","0.2%"
"bernoulli",0.001,"1","1",5000,"22.4%","45%","100%","100%","85%","94.6%","39.8%","59.6%","13.4%","22.2%","2.2%","5.4%"
"bernoulli",0.001,"1","1",50000,"95.4%","98%","100%","100%","100%","100%","99.8%","100%","95.6%","97.8%","83.6%","88%"
"bernoulli",0.001,"3","100",500,"6.6%","27.6%","90%","97.2%","30.8%","56.2%","6.8%","18.4%","1.2%","3.4%","0.2%","0.6%"
"bernoulli",0.001,"3","100",5000,"18.2%","43.4%","100%","100%","87%","95.2%","37.2%","57.2%","10%","20.8%","2.4%","4.8%"
"bernoulli",0.001,"3","100",50000,"96.4%","98.2%","100%","100%","100%","100%","99.8%","99.8%","97%","98.6%","83%","86.6%"
"bernoulli",0.001,"30","10",500,"6.4%","26.6%","89.4%","96.6%","26.2%","49.4%","6.8%","15.6%","1%","4%","0%","0.4%"
"bernoulli",0.001,"30","10",5000,"21.2%","43.6%","100%","100%","85%","93.8%","39.4%","56.6%","13%","22.2%","3%","7.4%"
"bernoulli",0.001,"30","10",50000,"94.2%","97.4%","100%","100%","100%","100%","99.8%","100%","94.8%","97.2%","79.8%","84.4%"
"bernoulli",0.001,"30","1000",500,"5.8%","24%","88%","97%","29.4%","51.2%","5.4%","14.6%","1.2%","2.8%","0%","0.4%"
"bernoulli",0.001,"30","1000",5000,"21.6%","41.8%","100%","100%","85.4%","94.6%","37.4%","53%","11.2%","21.6%","2%","5%"
"bernoulli",0.001,"30","1000",50000,"96.4%","98.4%","100%","100%","100%","100%","99.6%","99.8%","96.6%","97.8%","87.2%","90.6%"
"bernoulli",0.005,"1","1",500,"39%","60.4%","99.4%","99.8%","80.4%","91.2%","43.2%","58.6%","19%","26.2%","5%","10.2%"
"bernoulli",0.005,"1","1",5000,"100%","100%","100%","100%","100%","100%","100%","100%","99.8%","100%","99.4%","99.6%"
"bernoulli",0.005,"1","1",50000,"100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%"
"bernoulli",0.005,"3","100",500,"41.6%","62.4%","99.4%","99.8%","82%","91.8%","44.8%","60%","15.2%","25.6%","5%","8.2%"
"bernoulli",0.005,"3","100",5000,"100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%"
"bernoulli",0.005,"3","100",50000,"100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%"
"bernoulli",0.005,"30","10",500,"46.6%","64.8%","99.6%","100%","83.8%","90.4%","51.2%","64%","19%","28%","6.2%","9.6%"
"bernoulli",0.005,"30","10",5000,"100%","100%","100%","100%","100%","100%","100%","100%","99.8%","100%","99%","99.2%"
"bernoulli",0.005,"30","10",50000,"100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%"
"bernoulli",0.005,"30","1000",500,"40.6%","55.8%","99.4%","99.8%","78.8%","89%","45.4%","56.2%","16.2%","24.2%","5.4%","9.2%"
"bernoulli",0.005,"30","1000",5000,"100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","99.4%","99.4%"
"bernoulli",0.005,"30","1000",50000,"100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%"
