category,effect_p,effect_lambda,prior_alpha1,prior_beta1,prior_alpha2,prior_beta2,sample_size_per_day,freq_treat,freq_treat_peek,bayes_treat_0.1,bayes_treat_peek_0.1,bayes_treat_0.01,bayes_treat_peek_0.01,bayes_treat_0.001,bayes_treat_peek_0.001,bayes_treat_0.0001,bayes_treat_peek_0.0001,bayes_treat_0.00001,bayes_treat_peek_0.00001
bernoulli-exponential,0,0,3,100,2,1,500,2%,77%,100%,100%,72%,100%,13%,97%,1%,42%,0%,3%
bernoulli-exponential,0,0,3,100,2,1,5000,3%,82%,100%,100%,93%,100%,22%,100%,3%,77%,0%,13%
bernoulli-exponential,0,0,3,100,25,5,500,11%,80%,99%,100%,62%,100%,11%,96%,3%,41%,1%,4%
bernoulli-exponential,0,0,3,100,25,5,5000,6%,83%,100%,100%,96%,100%,33%,100%,6%,74%,1%,13%
bernoulli-exponential,0,0,30,10,2,1,500,5%,77%,100%,100%,70%,100%,12%,91%,1%,36%,0%,3%
bernoulli-exponential,0,0,30,10,2,1,5000,1%,85%,100%,100%,94%,100%,28%,99%,6%,72%,0%,16%
bernoulli-exponential,0,0,30,10,25,5,500,5%,85%,99%,100%,59%,100%,11%,95%,2%,51%,1%,8%
bernoulli-exponential,0,0,30,10,25,5,5000,8%,77%,100%,100%,99%,100%,33%,100%,4%,82%,1%,19%
bernoulli-exponential,0,0.01,3,100,2,1,500,2%,83%,100%,100%,63%,100%,8%,95%,0%,28%,0%,4%
bernoulli-exponential,0,0.01,3,100,2,1,5000,9%,87%,100%,100%,92%,100%,16%,97%,1%,37%,0%,7%
bernoulli-exponential,0,0.01,3,100,25,5,500,4%,80%,100%,100%,52%,100%,10%,92%,0%,26%,0%,2%
bernoulli-exponential,0,0.01,3,100,25,5,5000,7%,90%,100%,100%,86%,100%,16%,99%,0%,40%,0%,5%
bernoulli-exponential,0,0.01,30,10,2,1,500,4%,79%,99%,100%,60%,100%,9%,93%,2%,35%,0%,4%
bernoulli-exponential,0,0.01,30,10,2,1,5000,9%,89%,100%,100%,90%,100%,18%,99%,1%,32%,0%,3%
bernoulli-exponential,0,0.01,30,10,25,5,500,5%,80%,99%,100%,60%,100%,8%,92%,1%,35%,0%,9%
bernoulli-exponential,0,0.01,30,10,25,5,5000,5%,92%,100%,100%,95%,100%,15%,100%,1%,51%,0%,4%
bernoulli-exponential,0.001,0,3,100,2,1,500,2%,77%,100%,100%,71%,100%,15%,97%,0%,42%,0%,3%
bernoulli-exponential,0.001,0,3,100,2,1,5000,3%,79%,100%,100%,91%,100%,36%,99%,6%,77%,0%,16%
bernoulli-exponential,0.001,0,3,100,25,5,500,4%,84%,100%,100%,61%,100%,7%,95%,1%,46%,0%,2%
bernoulli-exponential,0.001,0,3,100,25,5,5000,3%,72%,100%,100%,95%,100%,24%,99%,3%,78%,0%,17%
bernoulli-exponential,0.001,0,30,10,2,1,500,5%,74%,100%,100%,64%,100%,16%,93%,3%,46%,0%,5%
bernoulli-exponential,0.001,0,30,10,2,1,5000,7%,81%,100%,100%,92%,100%,32%,99%,5%,80%,2%,17%
bernoulli-exponential,0.001,0,30,10,25,5,500,3%,79%,100%,100%,70%,100%,9%,96%,1%,42%,0%,6%
bernoulli-exponential,0.001,0,30,10,25,5,5000,9%,80%,100%,100%,92%,100%,35%,100%,4%,78%,1%,19%
bernoulli-exponential,0.001,0.01,3,100,2,1,500,7%,81%,100%,100%,56%,100%,11%,91%,1%,32%,0%,5%
bernoulli-exponential,0.001,0.01,3,100,2,1,5000,8%,87%,100%,100%,90%,100%,19%,97%,1%,41%,0%,6%
bernoulli-exponential,0.001,0.01,3,100,25,5,500,9%,79%,100%,100%,59%,100%,9%,91%,2%,29%,0%,6%
bernoulli-exponential,0.001,0.01,3,100,25,5,5000,4%,95%,100%,100%,93%,100%,16%,98%,1%,42%,0%,5%
bernoulli-exponential,0.001,0.01,30,10,2,1,500,4%,76%,99%,100%,66%,100%,9%,93%,1%,28%,0%,6%
bernoulli-exponential,0.001,0.01,30,10,2,1,5000,7%,93%,100%,100%,87%,100%,15%,100%,0%,40%,0%,4%
bernoulli-exponential,0.001,0.01,30,10,25,5,500,3%,80%,99%,100%,69%,100%,9%,94%,2%,48%,0%,9%
bernoulli-exponential,0.001,0.01,30,10,25,5,5000,7%,88%,100%,100%,89%,100%,21%,99%,1%,32%,0%,3%
