"category","effect","prior_alpha","prior_beta","sample_size_per_day","freq_treat","freq_treat_peek","bayes_treat_0.1","bayes_treat_peek_0.1","bayes_treat_0.01","bayes_treat_peek_0.01","bayes_treat_0.001","bayes_treat_peek_0.001","bayes_treat_0.0001","bayes_treat_peek_0.0001","bayes_treat_0.00001","bayes_treat_peek_0.00001"
"bernoulli",0,"1","1",500,"4.6%","19.2%","62.6%","84.4%","11%","29%","2.4%","6%","0.4%","0.8%","0%","0.2%"
"bernoulli",0,"1","1",5000,"6.2%","26%","96.8%","99.8%","29.6%","56.8%","6.4%","14.6%","1.2%","2.6%","0.2%","0.4%"
"bernoulli",0,"1","1",50000,"4%","29.8%","100%","100%","68.6%","87.2%","14.2%","34%","1%","5.8%","0%","1%"
"bernoulli",0,"3","100",500,"4%","16.6%","65.8%","89.6%","11.2%","30%","1.4%","5.4%","0.2%","1.4%","0%","0.4%"
"bernoulli",0,"3","100",5000,"3.4%","29.2%","99.2%","99.8%","32%","61.6%","5.2%","19.8%","0.6%","2.6%","0.2%","0.6%"
"bernoulli",0,"3","100",50000,"6.8%","28%","100%","100%","66.6%","87.2%","12.6%","30%","2.6%","7%","0.4%","1.4%"
"bernoulli",0,"30","10",500,"2.4%","16.4%","0.4%","0.6%","0%","0%","0%","0%","0%","0%","0%","0%"
"bernoulli",0,"30","10",5000,"4.4%","24%","88.8%","93.4%","10.4%","16.4%","0%","0.6%","0%","0%","0%","0%"
"bernoulli",0,"30","10",50000,"5.6%","27.2%","100%","100%","55.8%","75.4%","7.6%","17.6%","0.8%","2.4%","0%","0.6%"
"bernoulli",0,"30","1000",500,"3.4%","15%","71.2%","94.2%","9.2%","19.2%","0.8%","1.4%","0%","0%","0%","0%"
"bernoulli",0,"30","1000",5000,"5.2%","24.2%","97.8%","99.6%","31.8%","55%","4.8%","12.6%","0.6%","2.2%","0%","0.2%"
"bernoulli",0,"30","1000",50000,"4.6%","26%","100%","100%","65%","87%","12%","29.4%","1.6%","6%","0.2%","1.2%"
"bernoulli",0.001,"1","1",500,"4.4%","16.4%","72%","88.2%","16.8%","32%","2.6%","6.8%","0.4%","1%","0%","0%"
"bernoulli",0.001,"1","1",5000,"10%","35%","99.4%","100%","59.6%","78.6%","16.2%","33.8%","4.4%","9%","1.6%","1.8%"
"bernoulli",0.001,"1","1",50000,"61%","78%","100%","100%","100%","100%","88.4%","93.6%","54.6%","68.6%","28%","37.6%"
"bernoulli",0.001,"3","100",500,"3.8%","16.2%","76%","93.6%","17.2%","38%","2.2%","6.2%","0.4%","1.2%","0%","0%"
"bernoulli",0.001,"3","100",5000,"11.8%","35.6%","99.6%","99.8%","62.8%","81.8%","17.8%","35.8%","5.2%","12.2%","0.6%","2.8%"
"bernoulli",0.001,"3","100",50000,"63.8%","76.4%","100%","100%","99.4%","99.8%","88%","93.6%","58.4%","68.2%","29%","39%"
"bernoulli",0.001,"30","10",500,"4.2%","19.8%","2%","3%","0%","0%","0%","0%","0%","0%","0%","0%"
"bernoulli",0.001,"30","10",5000,"11.6%","35.2%","97.8%","98.6%","27.8%","38%","3.6%","7%","0%","0.6%","0%","0%"
"bernoulli",0.001,"30","10",50000,"61%","75.6%","100%","100%","99.2%","99.6%","83%","88%","45.6%","55.2%","20.2%","25%"
"bernoulli",0.001,"30","1000",500,"5.2%","20.4%","81.8%","96.2%","15.4%","27.4%","1.8%","3%","0.2%","0.2%","0%","0%"
"bernoulli",0.001,"30","1000",5000,"9.4%","30.6%","99.8%","100%","62%","79.8%","17.2%","29.8%","3%","6.8%","0%","0.6%"
"bernoulli",0.001,"30","1000",50000,"62%","75.4%","100%","100%","99.6%","100%","88%","93.4%","57.6%","67.4%","29.6%","39.8%"
"bernoulli",0.005,"1","1",500,"15%","31.6%","95%","99%","46.6%","64.8%","13.2%","24%","3.2%","5.2%","0.6%","0.8%"
"bernoulli",0.005,"1","1",5000,"95.2%","96.8%","100%","100%","99.8%","100%","98%","98.6%","86%","90.2%","64%","71%"
"bernoulli",0.005,"1","1",50000,"100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%"
"bernoulli",0.005,"3","100",500,"16.6%","33%","96.6%","99.2%","50.8%","70.8%","18%","28.4%","3.4%","7.6%","0%","0.6%"
"bernoulli",0.005,"3","100",5000,"93%","96.2%","100%","100%","100%","100%","97%","97.8%","84%","89.2%","63.4%","69.8%"
"bernoulli",0.005,"3","100",50000,"100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%"
"bernoulli",0.005,"30","10",500,"15.8%","33.4%","20%","23.4%","0.2%","0.4%","0%","0%","0%","0%","0%","0%"
"bernoulli",0.005,"30","10",5000,"93.4%","96.2%","100%","100%","98%","98.4%","86.4%","89.2%","59.8%","65.2%","34.6%","38.2%"
"bernoulli",0.005,"30","10",50000,"100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%"
"bernoulli",0.005,"30","1000",500,"17.8%","32.6%","97.8%","99.8%","57.8%","71.4%","15.2%","21.4%","2.4%","3.4%","0%","0.2%"
"bernoulli",0.005,"30","1000",5000,"93.6%","96.8%","100%","100%","100%","100%","98.4%","98.8%","86.4%","90.4%","64%","69.8%"
"bernoulli",0.005,"30","1000",50000,"100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%"
