"case_id","category","effect","sample_size_per_day","prior_alpha","prior_beta","prior","freq_treat","freq_treat_peek","peek_multiplier_freq","bayes_treat_0.1","bayes_treat_peek_0.1","peek_multiplier_bayes_0.1","bayes_treat_0.01","bayes_treat_peek_0.01","peek_multiplier_bayes_0.01","bayes_treat_0.001","bayes_treat_peek_0.001","peek_multiplier_bayes_0.001","bayes_treat_0.0001","bayes_treat_peek_0.0001","peek_multiplier_bayes_0.0001","bayes_treat_0.00001","bayes_treat_peek_0.00001","peek_multiplier_bayes_0.00001"
1,"bernoulli",0,500,1,1,"neutral","4.6%","19.2%",4.2,"62.6%","84.4%",1.3,"11%","29%",2.6,"2.4%","6%",2.5,"0.4%","0.8%",2,"0%","0.2%",NA
1,"bernoulli",0,5000,1,1,"neutral","6.2%","26%",4.2,"96.8%","99.8%",1,"29.6%","56.8%",1.9,"6.4%","14.6%",2.3,"1.2%","2.6%",2.2,"0.2%","0.4%",2
1,"bernoulli",0,50000,1,1,"neutral","4%","29.8%",7.4,"100%","100%",1,"68.6%","87.2%",1.3,"14.2%","34%",2.4,"1%","5.8%",5.8,"0%","1%",NA
1,"bernoulli",0,500,3,100,"directional","4%","16.6%",4.2,"65.8%","89.6%",1.4,"11.2%","30%",2.7,"1.4%","5.4%",3.9,"0.2%","1.4%",7,"0%","0.4%",NA
1,"bernoulli",0,5000,3,100,"directional","3.4%","29.2%",8.6,"99.2%","99.8%",1,"32%","61.6%",1.9,"5.2%","19.8%",3.8,"0.6%","2.6%",4.3,"0.2%","0.6%",3
1,"bernoulli",0,50000,3,100,"directional","6.8%","28%",4.1,"100%","100%",1,"66.6%","87.2%",1.3,"12.6%","30%",2.4,"2.6%","7%",2.7,"0.4%","1.4%",3.5
1,"bernoulli",0,500,30,10,"wrong","2.4%","16.4%",6.8,"0.4%","0.6%",1.5,"0%","0%",NA,"0%","0%",NA,"0%","0%",NA,"0%","0%",NA
1,"bernoulli",0,5000,30,10,"wrong","4.4%","24%",5.5,"88.8%","93.4%",1.1,"10.4%","16.4%",1.6,"0%","0.6%",NA,"0%","0%",NA,"0%","0%",NA
1,"bernoulli",0,50000,30,10,"wrong","5.6%","27.2%",4.9,"100%","100%",1,"55.8%","75.4%",1.4,"7.6%","17.6%",2.3,"0.8%","2.4%",3,"0%","0.6%",NA
1,"bernoulli",0,500,30,1000,"confident","3.4%","15%",4.4,"71.2%","94.2%",1.3,"9.2%","19.2%",2.1,"0.8%","1.4%",1.7,"0%","0%",NA,"0%","0%",NA
1,"bernoulli",0,5000,30,1000,"confident","5.2%","24.2%",4.7,"97.8%","99.6%",1,"31.8%","55%",1.7,"4.8%","12.6%",2.6,"0.6%","2.2%",3.7,"0%","0.2%",NA
1,"bernoulli",0,50000,30,1000,"confident","4.6%","26%",5.7,"100%","100%",1,"65%","87%",1.3,"12%","29.4%",2.4,"1.6%","6%",3.8,"0.2%","1.2%",6
2,"bernoulli",0.001,500,1,1,"neutral","4.4%","16.4%",3.7,"72%","88.2%",1.2,"16.8%","32%",1.9,"2.6%","6.8%",2.6,"0.4%","1%",2.5,"0%","0%",NA
2,"bernoulli",0.001,5000,1,1,"neutral","10%","35%",3.5,"99.4%","100%",1,"59.6%","78.6%",1.3,"16.2%","33.8%",2.1,"4.4%","9%",2,"1.6%","1.8%",1.1
2,"bernoulli",0.001,50000,1,1,"neutral","61%","78%",1.3,"100%","100%",1,"100%","100%",1,"88.4%","93.6%",1.1,"54.6%","68.6%",1.3,"28%","37.6%",1.3
2,"bernoulli",0.001,500,3,100,"directional","3.8%","16.2%",4.3,"76%","93.6%",1.2,"17.2%","38%",2.2,"2.2%","6.2%",2.8,"0.4%","1.2%",3,"0%","0%",NA
2,"bernoulli",0.001,5000,3,100,"directional","11.8%","35.6%",3,"99.6%","99.8%",1,"62.8%","81.8%",1.3,"17.8%","35.8%",2,"5.2%","12.2%",2.3,"0.6%","2.8%",4.7
2,"bernoulli",0.001,50000,3,100,"directional","63.8%","76.4%",1.2,"100%","100%",1,"99.4%","99.8%",1,"88%","93.6%",1.1,"58.4%","68.2%",1.2,"29%","39%",1.3
2,"bernoulli",0.001,500,30,10,"wrong","4.2%","19.8%",4.7,"2%","3%",1.5,"0%","0%",NA,"0%","0%",NA,"0%","0%",NA,"0%","0%",NA
2,"bernoulli",0.001,5000,30,10,"wrong","11.6%","35.2%",3,"97.8%","98.6%",1,"27.8%","38%",1.4,"3.6%","7%",1.9,"0%","0.6%",NA,"0%","0%",NA
2,"bernoulli",0.001,50000,30,10,"wrong","61%","75.6%",1.2,"100%","100%",1,"99.2%","99.6%",1,"83%","88%",1.1,"45.6%","55.2%",1.2,"20.2%","25%",1.2
2,"bernoulli",0.001,500,30,1000,"confident","5.2%","20.4%",3.9,"81.8%","96.2%",1.2,"15.4%","27.4%",1.8,"1.8%","3%",1.7,"0.2%","0.2%",1,"0%","0%",NA
2,"bernoulli",0.001,5000,30,1000,"confident","9.4%","30.6%",3.3,"99.8%","100%",1,"62%","79.8%",1.3,"17.2%","29.8%",1.7,"3%","6.8%",2.3,"0%","0.6%",NA
2,"bernoulli",0.001,50000,30,1000,"confident","62%","75.4%",1.2,"100%","100%",1,"99.6%","100%",1,"88%","93.4%",1.1,"57.6%","67.4%",1.2,"29.6%","39.8%",1.3
2,"bernoulli",0.005,500,1,1,"neutral","15%","31.6%",2.1,"95%","99%",1,"46.6%","64.8%",1.4,"13.2%","24%",1.8,"3.2%","5.2%",1.6,"0.6%","0.8%",1.3
2,"bernoulli",0.005,5000,1,1,"neutral","95.2%","96.8%",1,"100%","100%",1,"99.8%","100%",1,"98%","98.6%",1,"86%","90.2%",1,"64%","71%",1.1
2,"bernoulli",0.005,50000,1,1,"neutral","100%","100%",1,"100%","100%",1,"100%","100%",1,"100%","100%",1,"100%","100%",1,"100%","100%",1
2,"bernoulli",0.005,500,3,100,"directional","16.6%","33%",2,"96.6%","99.2%",1,"50.8%","70.8%",1.4,"18%","28.4%",1.6,"3.4%","7.6%",2.2,"0%","0.6%",NA
2,"bernoulli",0.005,5000,3,100,"directional","93%","96.2%",1,"100%","100%",1,"100%","100%",1,"97%","97.8%",1,"84%","89.2%",1.1,"63.4%","69.8%",1.1
2,"bernoulli",0.005,50000,3,100,"directional","100%","100%",1,"100%","100%",1,"100%","100%",1,"100%","100%",1,"100%","100%",1,"100%","100%",1
2,"bernoulli",0.005,500,30,10,"wrong","15.8%","33.4%",2.1,"20%","23.4%",1.2,"0.2%","0.4%",2,"0%","0%",NA,"0%","0%",NA,"0%","0%",NA
2,"bernoulli",0.005,5000,30,10,"wrong","93.4%","96.2%",1,"100%","100%",1,"98%","98.4%",1,"86.4%","89.2%",1,"59.8%","65.2%",1.1,"34.6%","38.2%",1.1
