"case_id","category","effect","sample_size_per_day","prior_alpha","prior_beta","prior","freq_treat","freq_treat_peek","peek_multiplier_freq","bayes_treat_0.1","bayes_treat_peek_0.1","peek_multiplier_bayes_0.1","bayes_treat_0.01","bayes_treat_peek_0.01","peek_multiplier_bayes_0.01","bayes_treat_0.001","bayes_treat_peek_0.001","peek_multiplier_bayes_0.001","bayes_treat_0.0001","bayes_treat_peek_0.0001","peek_multiplier_bayes_0.0001","bayes_treat_0.00001","bayes_treat_peek_0.00001","peek_multiplier_bayes_0.00001"
3,"poisson",0,500,23,1,"directional","3.8%","26.4%",6.9,"100%","100%",1,"97.8%","99.4%",1,"26.8%","58.4%",2.2,"4.4%","14.6%",3.3,"0.4%","1.6%",4
3,"poisson",0,5000,23,1,"directional","6.6%","29.8%",4.5,"100%","100%",1,"100%","100%",1,"61.2%","84.8%",1.4,"12.4%","31%",2.5,"1.6%","8%",5
3,"poisson",0,50000,23,1,"directional","4.4%","23.6%",5.4,"100%","100%",1,"100%","100%",1,"95.8%","99.4%",1,"29.8%","58%",1.9,"3.4%","11.2%",3.3
3,"poisson",0,500,230,10,"confident","6%","31%",5.2,"100%","100%",1,"96.8%","99.2%",1,"32.2%","56.2%",1.7,"5.4%","14.2%",2.6,"0.2%","2.2%",11
3,"poisson",0,5000,230,10,"confident","5.4%","26.2%",4.9,"100%","100%",1,"100%","100%",1,"63%","86%",1.4,"13.8%","31.2%",2.3,"2%","7.2%",3.6
3,"poisson",0,50000,230,10,"confident","4.6%","26.8%",5.8,"100%","100%",1,"100%","100%",1,"96.2%","99.2%",1,"26%","54%",2.1,"3.6%","13.4%",3.7
3,"poisson",0,500,6,1,"wrong","2.6%","29%",11.2,"100%","100%",1,"98.2%","99.8%",1,"30.8%","62.6%",2,"3.8%","17%",4.5,"0%","2.2%",NA
3,"poisson",0,5000,6,1,"wrong","3.6%","28.2%",7.8,"100%","100%",1,"100%","100%",1,"65%","88.4%",1.4,"13%","34.4%",2.6,"0.8%","7.6%",9.5
3,"poisson",0,50000,6,1,"wrong","3.6%","28.4%",7.9,"100%","100%",1,"100%","100%",1,"96.6%","99.6%",1,"27.8%","60.2%",2.2,"3%","14%",4.7
4,"poisson",0.01,500,23,1,"directional","4.2%","28%",6.7,"100%","100%",1,"97.8%","99.4%",1,"33.6%","57.8%",1.7,"4.6%","16.4%",3.6,"0.8%","1.8%",2.2
4,"poisson",0.01,5000,23,1,"directional","6.8%","28.8%",4.2,"100%","100%",1,"100%","100%",1,"71%","90%",1.3,"19.2%","37.8%",2,"3.2%","9.8%",3.1
4,"poisson",0.01,50000,23,1,"directional","11.6%","36%",3.1,"100%","100%",1,"100%","100%",1,"99.6%","100%",1,"63.6%","82%",1.3,"16.4%","32.2%",2
4,"poisson",0.01,500,230,10,"confident","6.6%","31%",4.7,"100%","100%",1,"97%","99.6%",1,"33.4%","59.2%",1.8,"6.6%","16.6%",2.5,"1.6%","3.8%",2.4
4,"poisson",0.01,5000,230,10,"confident","8.2%","30.4%",3.7,"100%","100%",1,"100%","100%",1,"70.6%","91.2%",1.3,"17.8%","37.6%",2.1,"4.4%","11%",2.5
4,"poisson",0.01,50000,230,10,"confident","12%","34.2%",2.9,"100%","100%",1,"100%","100%",1,"99.2%","99.6%",1,"57.8%","76.4%",1.3,"18.2%","32.8%",1.8
4,"poisson",0.01,500,6,1,"wrong","6.4%","30.8%",4.8,"100%","100%",1,"96.2%","99.6%",1,"36.4%","65.8%",1.8,"5.4%","21%",3.9,"1.2%","6%",5
4,"poisson",0.01,5000,6,1,"wrong","6.6%","27.8%",4.2,"100%","100%",1,"100%","100%",1,"73.8%","91.6%",1.2,"17.8%","41.8%",2.3,"4.6%","9.2%",2
4,"poisson",0.01,50000,6,1,"wrong","14%","40.2%",2.9,"100%","100%",1,"100%","100%",1,"99.6%","100%",1,"59.8%","79.6%",1.3,"19.2%","37.6%",2
4,"poisson",0.1,500,23,1,"directional","13.4%","37.4%",2.8,"100%","100%",1,"99.8%","99.8%",1,"61%","81.4%",1.3,"18.2%","36%",2,"5%","10.4%",2.1
4,"poisson",0.1,5000,23,1,"directional","73.4%","86.6%",1.2,"100%","100%",1,"100%","100%",1,"100%","100%",1,"91.6%","95.8%",1,"66.2%","76.2%",1.2
4,"poisson",0.1,50000,23,1,"directional","100%","100%",1,"100%","100%",1,"100%","100%",1,"100%","100%",1,"100%","100%",1,"100%","100%",1
4,"poisson",0.1,500,230,10,"confident","13.4%","35.8%",2.7,"100%","100%",1,"99.8%","100%",1,"56.8%","81.8%",1.4,"21.4%","35%",1.6,"4.6%","11.4%",2.5
4,"poisson",0.1,5000,230,10,"confident","69%","82%",1.2,"100%","100%",1,"100%","100%",1,"100%","100%",1,"91.2%","95.8%",1.1,"62.8%","72%",1.1
4,"poisson",0.1,50000,230,10,"confident","100%","100%",1,"100%","100%",1,"100%","100%",1,"100%","100%",1,"100%","100%",1,"100%","100%",1
4,"poisson",0.1,500,6,1,"wrong","10.4%","35.2%",3.4,"100%","100%",1,"99.4%","100%",1,"60.6%","80.6%",1.3,"16.2%","35.6%",2.2,"3.8%","9.4%",2.5
4,"poisson",0.1,5000,6,1,"wrong","76.4%","86.8%",1.1,"100%","100%",1,"100%","100%",1,"100%","100%",1,"92.4%","96.4%",1,"69.6%","78.8%",1.1
4,"poisson",0.1,50000,6,1,"wrong","100%","100%",1,"100%","100%",1,"100%","100%",1,"100%","100%",1,"100%","100%",1,"100%","100%",1
