"category","effect","prior_alpha","prior_beta","sample_size_per_day","freq_treat","freq_treat_peek","bayes_treat_0.1","bayes_treat_peek_0.1","bayes_treat_0.01","bayes_treat_peek_0.01","bayes_treat_0.001","bayes_treat_peek_0.001","bayes_treat_0.0001","bayes_treat_peek_0.0001","bayes_treat_0.00001","bayes_treat_peek_0.00001"
"poisson",0,"23","1",500,"3.8%","26.4%","100%","100%","97.8%","99.4%","26.8%","58.4%","4.4%","14.6%","0.4%","1.6%"
"poisson",0,"23","1",5000,"6.6%","29.8%","100%","100%","100%","100%","61.2%","84.8%","12.4%","31%","1.6%","8%"
"poisson",0,"23","1",50000,"4.4%","23.6%","100%","100%","100%","100%","95.8%","99.4%","29.8%","58%","3.4%","11.2%"
"poisson",0,"230","10",500,"6%","31%","100%","100%","96.8%","99.2%","32.2%","56.2%","5.4%","14.2%","0.2%","2.2%"
"poisson",0,"230","10",5000,"5.4%","26.2%","100%","100%","100%","100%","63%","86%","13.8%","31.2%","2%","7.2%"
"poisson",0,"230","10",50000,"4.6%","26.8%","100%","100%","100%","100%","96.2%","99.2%","26%","54%","3.6%","13.4%"
"poisson",0,"6","1",500,"2.6%","29%","100%","100%","98.2%","99.8%","30.8%","62.6%","3.8%","17%","0%","2.2%"
"poisson",0,"6","1",5000,"3.6%","28.2%","100%","100%","100%","100%","65%","88.4%","13%","34.4%","0.8%","7.6%"
"poisson",0,"6","1",50000,"3.6%","28.4%","100%","100%","100%","100%","96.6%","99.6%","27.8%","60.2%","3%","14%"
"poisson",0.01,"23","1",500,"4.2%","28%","100%","100%","97.8%","99.4%","33.6%","57.8%","4.6%","16.4%","0.8%","1.8%"
"poisson",0.01,"23","1",5000,"6.8%","28.8%","100%","100%","100%","100%","71%","90%","19.2%","37.8%","3.2%","9.8%"
"poisson",0.01,"23","1",50000,"11.6%","36%","100%","100%","100%","100%","99.6%","100%","63.6%","82%","16.4%","32.2%"
"poisson",0.01,"230","10",500,"6.6%","31%","100%","100%","97%","99.6%","33.4%","59.2%","6.6%","16.6%","1.6%","3.8%"
"poisson",0.01,"230","10",5000,"8.2%","30.4%","100%","100%","100%","100%","70.6%","91.2%","17.8%","37.6%","4.4%","11%"
"poisson",0.01,"230","10",50000,"12%","34.2%","100%","100%","100%","100%","99.2%","99.6%","57.8%","76.4%","18.2%","32.8%"
"poisson",0.01,"6","1",500,"6.4%","30.8%","100%","100%","96.2%","99.6%","36.4%","65.8%","5.4%","21%","1.2%","6%"
"poisson",0.01,"6","1",5000,"6.6%","27.8%","100%","100%","100%","100%","73.8%","91.6%","17.8%","41.8%","4.6%","9.2%"
"poisson",0.01,"6","1",50000,"14%","40.2%","100%","100%","100%","100%","99.6%","100%","59.8%","79.6%","19.2%","37.6%"
"poisson",0.1,"23","1",500,"13.4%","37.4%","100%","100%","99.8%","99.8%","61%","81.4%","18.2%","36%","5%","10.4%"
"poisson",0.1,"23","1",5000,"73.4%","86.6%","100%","100%","100%","100%","100%","100%","91.6%","95.8%","66.2%","76.2%"
"poisson",0.1,"23","1",50000,"100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%"
"poisson",0.1,"230","10",500,"13.4%","35.8%","100%","100%","99.8%","100%","56.8%","81.8%","21.4%","35%","4.6%","11.4%"
"poisson",0.1,"230","10",5000,"69%","82%","100%","100%","100%","100%","100%","100%","91.2%","95.8%","62.8%","72%"
"poisson",0.1,"230","10",50000,"100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%"
"poisson",0.1,"6","1",500,"10.4%","35.2%","100%","100%","99.4%","100%","60.6%","80.6%","16.2%","35.6%","3.8%","9.4%"
"poisson",0.1,"6","1",5000,"76.4%","86.8%","100%","100%","100%","100%","100%","100%","92.4%","96.4%","69.6%","78.8%"
"poisson",0.1,"6","1",50000,"100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%"
