"category","effect","prior_alpha","prior_beta","sample_size_per_day","freq_treat","freq_treat_peek","bayes_treat_0.95","bayes_treat_peek_0.95"
"bernoulli",0,"1","1",500,"6%","25.6%","5%","24.6%"
"bernoulli",0,"1","1",5000,"3.6%","25.6%","4.2%","24.8%"
"bernoulli",0,"1","1",50000,"4%","27%","3%","23.6%"
"bernoulli",0,"3","100",500,"3.4%","20.2%","5.2%","23.4%"
"bernoulli",0,"3","100",5000,"5.2%","22.4%","4.6%","22.6%"
"bernoulli",0,"3","100",50000,"5.8%","29.6%","5.4%","21.4%"
"bernoulli",0,"30","10",500,"5%","20.6%","5%","23.2%"
"bernoulli",0,"30","10",5000,"5%","24.6%","6.2%","23.2%"
"bernoulli",0,"30","10",50000,"3.8%","24.4%","3.8%","22%"
"bernoulli",0,"30","1000",500,"5.4%","25%","4.4%","19.8%"
"bernoulli",0,"30","1000",5000,"5.4%","25.2%","6%","24.2%"
"bernoulli",0,"30","1000",50000,"4%","26.2%","5.8%","25.4%"
"bernoulli",0.001,"1","1",500,"5.8%","23.4%","10.6%","34.4%"
"bernoulli",0.001,"1","1",5000,"19.6%","44.8%","30.8%","55.6%"
"bernoulli",0.001,"1","1",50000,"96.4%","98.8%","98.6%","99.6%"
"bernoulli",0.001,"3","100",500,"6.6%","24%","9.8%","29.4%"
"bernoulli",0.001,"3","100",5000,"19%","41%","30.2%","55.4%"
"bernoulli",0.001,"3","100",50000,"94.8%","98.2%","97.4%","98.8%"
"bernoulli",0.001,"30","10",500,"5%","24.2%","9.4%","29%"
"bernoulli",0.001,"30","10",5000,"20.6%","41.6%","32.2%","57.6%"
"bernoulli",0.001,"30","10",50000,"95.4%","97.4%","96.8%","98.4%"
"bernoulli",0.001,"30","1000",500,"5.4%","23.8%","7.6%","27.2%"
"bernoulli",0.001,"30","1000",5000,"20.4%","44.2%","32%","57.6%"
"bernoulli",0.001,"30","1000",50000,"96.6%","98%","98%","99%"
"bernoulli",0.005,"1","1",500,"43.8%","60.8%","55.4%","75.8%"
"bernoulli",0.005,"1","1",5000,"100%","100%","100%","100%"
"bernoulli",0.005,"1","1",50000,"100%","100%","100%","100%"
"bernoulli",0.005,"3","100",500,"39.4%","57.8%","53%","71.6%"
"bernoulli",0.005,"3","100",5000,"100%","100%","100%","100%"
"bernoulli",0.005,"3","100",50000,"100%","100%","100%","100%"
"bernoulli",0.005,"30","10",500,"43%","60.4%","58%","74.6%"
"bernoulli",0.005,"30","10",5000,"100%","100%","100%","100%"
"bernoulli",0.005,"30","10",50000,"100%","100%","100%","100%"
"bernoulli",0.005,"30","1000",500,"38.2%","60.6%","52.4%","72.4%"
"bernoulli",0.005,"30","1000",5000,"100%","100%","100%","100%"
"bernoulli",0.005,"30","1000",50000,"100%","100%","100%","100%"
