"case_id","category","effect","sample_size_per_day","prior_alpha","prior_beta","prior","freq_treat","freq_treat_peek","peek_multiplier_freq","bayes_treat_0.95","bayes_treat_peek_0.95","peek_multiplier_bayes"
3,"poisson",0,500,23,1,"directional","3.4%","26.2%",7.7,"4.6%","25.2%",5.5
3,"poisson",0,5000,23,1,"directional","6%","31.6%",5.3,"5.8%","25.2%",4.3
3,"poisson",0,50000,23,1,"directional","3.8%","22.2%",5.8,"4.2%","25.6%",6.1
3,"poisson",0,500,230,10,"confident","4.4%","27.4%",6.2,"5.2%","25.6%",4.9
3,"poisson",0,5000,230,10,"confident","5%","27%",5.4,"4.8%","23.6%",4.9
3,"poisson",0,50000,230,10,"confident","5.4%","29.4%",5.4,"5.4%","24.6%",4.6
3,"poisson",0,500,6,1,"wrong","4%","26.8%",6.7,"5.2%","24.4%",4.7
3,"poisson",0,5000,6,1,"wrong","4.4%","26.2%",6,"5%","23.6%",4.7
3,"poisson",0,50000,6,1,"wrong","5.6%","27.2%",4.9,"5.4%","27.6%",5.1
4,"poisson",0.01,500,23,1,"directional","5%","27.8%",5.6,"6.2%","28%",4.5
4,"poisson",0.01,5000,23,1,"directional","7.8%","31.6%",4.1,"12.2%","33.8%",2.8
4,"poisson",0.01,50000,23,1,"directional","23.8%","45.8%",1.9,"34.2%","57%",1.7
4,"poisson",0.01,500,230,10,"confident","5.6%","26.6%",4.8,"6%","28.2%",4.7
4,"poisson",0.01,5000,230,10,"confident","8.2%","33.4%",4.1,"13.8%","36.8%",2.7
4,"poisson",0.01,50000,230,10,"confident","24.8%","50.8%",2,"38%","63.2%",1.7
4,"poisson",0.01,500,6,1,"wrong","4%","28%",7,"7.2%","27.8%",3.9
4,"poisson",0.01,5000,6,1,"wrong","7%","34.6%",4.9,"12%","35%",2.9
4,"poisson",0.01,50000,6,1,"wrong","22.4%","46.8%",2.1,"33.6%","55.6%",1.7
4,"poisson",0.1,500,23,1,"directional","25.8%","51.6%",2,"37%","61.8%",1.7
4,"poisson",0.1,5000,23,1,"directional","98.4%","99.2%",1,"99%","99.6%",1
4,"poisson",0.1,50000,23,1,"directional","100%","100%",1,"100%","100%",1
4,"poisson",0.1,500,230,10,"confident","26.8%","52.4%",2,"40.4%","63.2%",1.6
4,"poisson",0.1,5000,230,10,"confident","98.6%","99.6%",1,"99.2%","99.8%",1
4,"poisson",0.1,50000,230,10,"confident","100%","100%",1,"100%","100%",1
4,"poisson",0.1,500,6,1,"wrong","22.8%","45.4%",2,"31.6%","57.4%",1.8
4,"poisson",0.1,5000,6,1,"wrong","97.6%","99.2%",1,"99.4%","100%",1
4,"poisson",0.1,50000,6,1,"wrong","100%","100%",1,"100%","100%",1
