"category","effect","prior_alpha","prior_beta","sample_size_per_day","freq_treat","freq_treat_peek","bayes_treat_0.95","bayes_treat_peek_0.95"
"bernoulli",0,"1","1",500,"4.6%","23.4%","4.8%","21.2%"
"bernoulli",0,"1","1",5000,"3.4%","22.6%","4.6%","20.6%"
"bernoulli",0,"1","1",50000,"4.6%","29.2%","3.2%","19.8%"
"bernoulli",0,"3","100",500,"4.2%","18.8%","3.2%","11.6%"
"bernoulli",0,"3","100",5000,"6%","26.6%","5.6%","24.2%"
"bernoulli",0,"3","100",50000,"4.6%","26.8%","4.8%","26.2%"
"bernoulli",0,"30","10",500,"4.4%","18%","3.2%","8.6%"
"bernoulli",0,"30","10",5000,"4%","26.2%","3.4%","15.8%"
"bernoulli",0,"30","10",50000,"5.8%","27.4%","4%","21.8%"
"bernoulli",0,"30","1000",500,"3.4%","18.8%","3.2%","9.2%"
"bernoulli",0,"30","1000",5000,"4.4%","22.8%","4.2%","17.8%"
"bernoulli",0,"30","1000",50000,"5.2%","29.8%","3.6%","25.6%"
"bernoulli",0.001,"1","1",500,"5%","20.6%","6.8%","24.2%"
"bernoulli",0.001,"1","1",5000,"9.8%","32.8%","18.6%","40.8%"
"bernoulli",0.001,"1","1",50000,"66.2%","78%","75%","87.6%"
"bernoulli",0.001,"3","100",500,"4%","19.6%","5.6%","17.6%"
"bernoulli",0.001,"3","100",5000,"9.2%","30.4%","17.4%","36%"
"bernoulli",0.001,"3","100",50000,"63.6%","78.2%","73.2%","85.2%"
"bernoulli",0.001,"30","10",500,"4.8%","18.8%","5.6%","13.4%"
"bernoulli",0.001,"30","10",5000,"9.8%","31.8%","15.2%","34.4%"
"bernoulli",0.001,"30","10",50000,"63%","77.6%","74%","86.8%"
"bernoulli",0.001,"30","1000",500,"4.6%","18%","4.8%","12.4%"
"bernoulli",0.001,"30","1000",5000,"12.2%","33.2%","19.4%","36.8%"
"bernoulli",0.001,"30","1000",50000,"66%","79.8%","76.4%","87.6%"
"bernoulli",0.005,"1","1",500,"15.2%","33.6%","27.2%","47.2%"
"bernoulli",0.005,"1","1",5000,"94%","97.4%","97.4%","99%"
"bernoulli",0.005,"1","1",50000,"100%","100%","100%","100%"
"bernoulli",0.005,"3","100",500,"18.8%","36.2%","27.6%","42.4%"
"bernoulli",0.005,"3","100",5000,"95.2%","97%","96.8%","98.2%"
"bernoulli",0.005,"3","100",50000,"100%","100%","100%","100%"
"bernoulli",0.005,"30","10",500,"15%","34.2%","21.6%","40.8%"
"bernoulli",0.005,"30","10",5000,"93.4%","97%","97.4%","98.6%"
"bernoulli",0.005,"30","10",50000,"100%","100%","100%","100%"
"bernoulli",0.005,"30","1000",500,"16.6%","31.8%","21.4%","35.6%"
"bernoulli",0.005,"30","1000",5000,"94%","97.6%","96.6%","97.8%"
"bernoulli",0.005,"30","1000",50000,"100%","100%","100%","100%"
