"case_id","category","effect","sample_size_per_day","prior_alpha","prior_beta","prior","freq_treat","freq_treat_peek","peek_multiplier_freq","bayes_treat_0.95","bayes_treat_peek_0.95","peek_multiplier_bayes"
3,"poisson",0,500,23,1,"directional","6.2%","27.6%",4.5,"6.6%","28.8%",4.4
3,"poisson",0,5000,23,1,"directional","6.6%","27.4%",4.2,"6.6%","27.6%",4.2
3,"poisson",0,50000,23,1,"directional","6%","29.2%",4.9,"6.6%","27%",4.1
3,"poisson",0,500,230,10,"confident","7%","28%",4,"8%","41.2%",5.2
3,"poisson",0,5000,230,10,"confident","5.4%","31.2%",5.8,"7%","32.4%",4.6
3,"poisson",0,50000,230,10,"confident","6.2%","24.8%",4,"5%","22.8%",4.6
3,"poisson",0,500,6,1,"wrong","5.8%","29%",5,"5.8%","31.2%",5.4
3,"poisson",0,5000,6,1,"wrong","4.2%","26.4%",6.3,"4%","26.6%",6.7
3,"poisson",0,50000,6,1,"wrong","5.2%","27%",5.2,"4.2%","22.2%",5.3
4,"poisson",0.01,500,23,1,"directional","2.6%","27.2%",10.5,"6.4%","31.8%",5
4,"poisson",0.01,5000,23,1,"directional","6%","26.8%",4.5,"6.2%","32.6%",5.3
4,"poisson",0.01,50000,23,1,"directional","12.6%","36.8%",2.9,"17.4%","45.4%",2.6
4,"poisson",0.01,500,230,10,"confident","4.2%","26.6%",6.3,"6.2%","46%",7.4
4,"poisson",0.01,5000,230,10,"confident","5.6%","30%",5.4,"7.8%","35%",4.5
4,"poisson",0.01,50000,230,10,"confident","13.4%","35.8%",2.7,"21.4%","46.2%",2.2
4,"poisson",0.01,500,6,1,"wrong","5.8%","28.4%",4.9,"7.2%","35%",4.9
4,"poisson",0.01,5000,6,1,"wrong","6.8%","32%",4.7,"10.2%","33.2%",3.3
4,"poisson",0.01,50000,6,1,"wrong","10.2%","33.4%",3.3,"18.8%","40.8%",2.2
4,"poisson",0.1,500,23,1,"directional","11.8%","35.8%",3,"20.2%","50.8%",2.5
4,"poisson",0.1,5000,23,1,"directional","68.6%","79.2%",1.2,"78%","88.4%",1.1
4,"poisson",0.1,50000,23,1,"directional","100%","100%",1,"100%","100%",1
4,"poisson",0.1,500,230,10,"confident","14.6%","36.2%",2.5,"26%","59.2%",2.3
4,"poisson",0.1,5000,230,10,"confident","71.4%","82.8%",1.2,"81%","91.4%",1.1
4,"poisson",0.1,50000,230,10,"confident","100%","100%",1,"100%","100%",1
4,"poisson",0.1,500,6,1,"wrong","15.2%","38%",2.5,"23.6%","52.8%",2.2
4,"poisson",0.1,5000,6,1,"wrong","74.8%","84.6%",1.1,"82.4%","91.8%",1.1
4,"poisson",0.1,50000,6,1,"wrong","100%","100%",1,"100%","100%",1
