"category","effect","prior_alpha","prior_beta","sample_size_per_day","freq_treat","freq_treat_peek","bayes_treat_0.95","bayes_treat_peek_0.95"
"poisson",0,"23","1",500,"6.2%","27.6%","6.6%","28.8%"
"poisson",0,"23","1",5000,"6.6%","27.4%","6.6%","27.6%"
"poisson",0,"23","1",50000,"6%","29.2%","6.6%","27%"
"poisson",0,"230","10",500,"7%","28%","8%","41.2%"
"poisson",0,"230","10",5000,"5.4%","31.2%","7%","32.4%"
"poisson",0,"230","10",50000,"6.2%","24.8%","5%","22.8%"
"poisson",0,"6","1",500,"5.8%","29%","5.8%","31.2%"
"poisson",0,"6","1",5000,"4.2%","26.4%","4%","26.6%"
"poisson",0,"6","1",50000,"5.2%","27%","4.2%","22.2%"
"poisson",0.01,"23","1",500,"2.6%","27.2%","6.4%","31.8%"
"poisson",0.01,"23","1",5000,"6%","26.8%","6.2%","32.6%"
"poisson",0.01,"23","1",50000,"12.6%","36.8%","17.4%","45.4%"
"poisson",0.01,"230","10",500,"4.2%","26.6%","6.2%","46%"
"poisson",0.01,"230","10",5000,"5.6%","30%","7.8%","35%"
"poisson",0.01,"230","10",50000,"13.4%","35.8%","21.4%","46.2%"
"poisson",0.01,"6","1",500,"5.8%","28.4%","7.2%","35%"
"poisson",0.01,"6","1",5000,"6.8%","32%","10.2%","33.2%"
"poisson",0.01,"6","1",50000,"10.2%","33.4%","18.8%","40.8%"
"poisson",0.1,"23","1",500,"11.8%","35.8%","20.2%","50.8%"
"poisson",0.1,"23","1",5000,"68.6%","79.2%","78%","88.4%"
"poisson",0.1,"23","1",50000,"100%","100%","100%","100%"
"poisson",0.1,"230","10",500,"14.6%","36.2%","26%","59.2%"
"poisson",0.1,"230","10",5000,"71.4%","82.8%","81%","91.4%"
"poisson",0.1,"230","10",50000,"100%","100%","100%","100%"
"poisson",0.1,"6","1",500,"15.2%","38%","23.6%","52.8%"
"poisson",0.1,"6","1",5000,"74.8%","84.6%","82.4%","91.8%"
"poisson",0.1,"6","1",50000,"100%","100%","100%","100%"
